CardId	Year	Conference	tweetFiltrado
213	2002	2	200th;fighter;jet;continues;insist;mind;loosing
214	2004	7	ukraine;ukrainian;force;destroyed;vehicle;tank;munition;dropped;drone
215	2013	0	russia;position;kyivs;desire;join;eu;changed;position;ukraine;accession;nato;deputy;representative;polyansky;going;screw;putin;ukraine;business
216	2002	0	united;jewish;community;ukraine;report;fired;rocket;jewish;cemetery;hlukhiv;sumy;region
217	2022	0	feel;40;billion;tax;dollar;ukraine;;ukrainerussianwar;opinion
218	2015	0	hate;agree;hate;russian;workerspartygb;chineseembinuk;sweeneysteve;cpgbml;vday;ukraine;nato;workerspartygb
219	2015	0	blocking;humanitarian;corridor;violating;humanitarian;law;500;medical;worker;wounded;defender;blocked;azovstal;steelworks;urgent;evacuation;ukraine;spare;effort;rescue;people;savemariupol
220	2005	0	lithuania;parliament;today;unanimously;described;russia;atrocity;ukraine;genocide;recognised;terrorist;state
221	2005	7	ukraine;ukrainian;force;captured;t72b;tank;battle;east;captured;yesterday
222	2004	0	nataliezubar;long;think;war;40km;border;demilitarized;going;happen;surely;reply;lot;people;ukraine
223	2015	0	war;blow;ukraine;ppl;world;business;ru;lost;credibility;term;future;big;loss;stopputin;standwithukraine;armukrainenow;putinswar
224	2002	0	4;rocket;hit;military;site;lviv;rocket;launched;black;sea;attack;military;target;wrong;civilian;attacking;country;principle;wrong;wrong
225	2015	0	ukraine;ukrainian;bm27;uragan;mrl;firing;tonight;position
226	2000	0	public;highlevel;support;;world;united;ukraine;;fatigue;war;strong;motivation;win;;acting;plan;weaken;attack;cnn
227	2004	4	hold;victoryday;parade;moscow;red;square;president;putin;love;country;faith;traditional;value;ancestral;custom;respect;people;culture;9may;victoryparade;victoryday2022;weremember
228	2017	7	popasna;fallen;siverskyi;donets;crossed;poised;finish;dramatic;encirclement;war;ua;troop;falling;bakhmutsiversk;better;slovyanskkramatorsktoretsk;surrounded
229	2012	7	area;army;attempted;cross;donets;river;attempt;ended;failure;serebryanka;west;bilohorivka;ukraine
230	2014	4	vice;mayor;riga;edward;smiltens;monument;liberator;victory;park;dismantled
231	2013	0	deputy;rep;claim;changed;position;opposes;ukraine;entry;eu;opposed;ukraine;joining;eu;2013;kremlin;pressure;yanukovych;led;delay;signing;eu;association;agreement;triggered;maidan;revolution
232	2016	7	100;destroyed;ukrainian;air;force;reported;su27;operating;support;infantry
233	2002	1	anonymous;hacker;worldwide;attacking;change;tv;channel;blood;hand;hacked;message;tv;continues;television;government;lying;war;ukraine;russianshameday
234	2007	7	uav;filming;2;tank;abandoned;completely;destroyed;ukrainian;30th;mechanized;brigade;ukrainr
235	2003	0	ukraine;ukrainian;drone;observing;flying;ka52;attack;helicopter
236	2001	1	stateowned;news;channel;russia24;call;saint;petersburg;leningrad;yekaterinburg;sverdlovsk
237	2010	0	recruit;detainee;gunfire;heard;ukraine;warcrimes
238	2014	7	failed;bridging;attempt;cross;seversky;donets;river;donetsk;oblast;atleast;mbt;brem1;arv;ifv;addition;pontoon;bridge;lost;ukraine
239	2003	0	russia;donbas;offensive;lost;momentum;fallen;schedule;report;british;ministry;defence
240	2017	8	sanction;moscow;running;raw;material;white;printer;paper;brown;paper;marketed;ecofriendly;price;760;500;sheet;keep;mind;typical;monthly;salary;prewar;moscow;highest;12001700;month
241	2010	0	video;drone;operated;ukrainian;tdf;dropping;munition;btr;ukraine
242	2005	0	abandoneddamaged;t72b;t72b3;mbts;eastern;front;ukraine
